x,y,rssi
-50,-50,-90.02128958342766
-45,-50,-90.46046872343196
-40,-50,-90.60497235670822
-35,-50,-91.79877058140985
-30,-50,-89.26918468622898
-25,-50,-91.35985801554851
-20,-50,-90.12430646288821
-15,-50,-89.21539776346857
-10,-50,-88.85943794635158
-5,-50,-87.69896789993811
0,-50,-88.58023231957378
5,-50,-88.73411807056357
10,-50,-89.14828892617933
15,-50,-90.71585124600712
20,-50,-88.79465564921288
25,-50,-89.90616031662981
30,-50,-89.87062792420076
35,-50,-89.6798462702529
40,-50,-89.7122353362624
45,-50,-90.77642001739753
50,-50,-89.82638474287013
-50,-45,-90.62815164634749
-45,-45,-91.09418225774293
-40,-45,-91.2118081428364
-35,-45,-90.56049048763035
-30,-45,-89.51557388643981
-25,-45,-89.76879120695007
-20,-45,-89.75281550915284
-15,-45,-89.13663790147871
-10,-45,-88.72604188285854
-5,-45,-87.0719711751536
0,-45,-87.52226059400178
5,-45,-88.29742442606715
10,-45,-87.18116861390067
15,-45,-89.84728209987708
20,-45,-87.59657183691809
25,-45,-89.265648592447
30,-45,-90.11834248344658
35,-45,-89.59852003831303
40,-45,-91.65699468883857
45,-45,-91.5103224331205
50,-45,-91.40243719012108
-50,-40,-91.72212767090427
-45,-40,-92.39080164298275
-40,-40,-90.58448524114318
-35,-40,-91.64953216962675
-30,-40,-90.59123089260044
-25,-40,-88.95142429727913
-20,-40,-88.91859376133979
-15,-40,-87.23562053439399
-10,-40,-87.897353990287
-5,-40,-88.01828794081895
0,-40,-87.42636421333796
5,-40,-87.26062179794272
10,-40,-86.14691255748942
15,-40,-86.68986782698428
20,-40,-88.68092946497416
25,-40,-87.05678051935402
30,-40,-89.91547167034726
35,-40,-90.22764034878
40,-40,-90.45233525984413
45,-40,-90.72698236468187
50,-40,-93.10835137341144
-50,-35,-90.12794201372118
-45,-35,-87.88671755524366
-40,-35,-89.02130144323924
-35,-35,-89.73727022252942
-30,-35,-89.2879431164707
-25,-35,-87.24770065814303
-20,-35,-88.79493667674707
-15,-35,-86.85936496461227
-10,-35,-87.6342053656128
-5,-35,-86.72421370242778
0,-35,-87.50302049626895
5,-35,-90.12342530119933
10,-35,-87.02584824955869
15,-35,-88.36040663111763
20,-35,-88.43594314883192
25,-35,-88.40326956903988
30,-35,-88.62182409076571
35,-35,-88.90279625998025
40,-35,-89.12072357305826
45,-35,-89.50118419031922
50,-35,-88.8715570219964
-50,-30,-90.30384736886893
-45,-30,-91.50680861655226
-40,-30,-88.88482415843814
-35,-30,-89.04291161564647
-30,-30,-86.84246452160818
-25,-30,-86.33181511434343
-20,-30,-85.67751193379898
-15,-30,-86.4539200995816
-10,-30,-86.62081110309019
-5,-30,-86.04066699125214
0,-30,-84.91115074270053
5,-30,-85.72485850170469
10,-30,-86.7861904483965
15,-30,-87.44436908520524
20,-30,-86.11073419506678
25,-30,-89.69779601176694
30,-30,-88.81701183809885
35,-30,-90.24118347881654
40,-30,-89.27891580443152
45,-30,-91.10686812679712
50,-30,-89.5472006185628
-50,-25,-91.37047380912566
-45,-25,-88.99910421356964
-40,-25,-90.49675629377278
-35,-25,-88.64060624607282
-30,-25,-87.90437449647246
-25,-25,-87.25387409284842
-20,-25,-85.54307465596958
-15,-25,-86.48617929162002
-10,-25,-84.97770703541578
-5,-25,-84.24445876566192
0,-25,-84.87168146635736
5,-25,-84.30639678597653
10,-25,-84.66574460984644
15,-25,-85.46608197159216
20,-25,-85.61131350021351
25,-25,-86.24466131018035
30,-25,-87.35587280269523
35,-25,-88.93513967316176
40,-25,-86.76682305979398
45,-25,-90.64298433459865
50,-25,-90.88727838136334
-50,-20,-90.43822481384383
-45,-20,-88.1053965382864
-40,-20,-88.9221619780348
-35,-20,-86.88501589442423
-30,-20,-87.28471020934997
-25,-20,-86.62134595463169
-20,-20,-85.07045155406023
-15,-20,-84.64129672429577
-10,-20,-83.2755671488261
-5,-20,-81.18823880330095
0,-20,-84.59218793414993
5,-20,-82.16892427769851
10,-20,-82.87955339435764
15,-20,-83.64843135954521
20,-20,-87.42036617250754
25,-20,-84.38823910079519
30,-20,-87.26268160595313
35,-20,-87.69691131270875
40,-20,-89.41164852874827
45,-20,-89.76383872598055
50,-20,-89.5264000198038
-50,-15,-89.32592665510369
-45,-15,-88.83941320742541
-40,-15,-88.8413172843662
-35,-15,-87.14600535188852
-30,-15,-88.3729945303389
-25,-15,-84.42442611017437
-20,-15,-85.20610095607493
-15,-15,-83.99804772022755
-10,-15,-80.72222459401587
-5,-15,-82.71118171340186
0,-15,-81.47846057833812
5,-15,-81.37350693652765
10,-15,-83.45533011082665
15,-15,-83.13690608441497
20,-15,-84.53727852361577
25,-15,-88.21238263437947
30,-15,-86.21163468775838
35,-15,-88.37813417521596
40,-15,-88.78917358130612
45,-15,-88.93490251499612
50,-15,-89.35246108036226
-50,-10,-88.46757762295238
-45,-10,-89.17262930048847
-40,-10,-87.70729185589983
-35,-10,-87.10344861633051
-30,-10,-87.09685839695845
-25,-10,-85.58707634524353
-20,-10,-84.02687597250072
-15,-10,-84.01280970129154
-10,-10,-79.87407231596886
-5,-10,-79.70302017620028
0,-10,-76.42147316935764
5,-10,-79.23999386669938
10,-10,-81.0859685337636
15,-10,-82.99690906803876
20,-10,-82.88077810437255
25,-10,-85.56639370209042
30,-10,-86.42124993169719
35,-10,-87.06730249146348
40,-10,-88.21058433712243
45,-10,-88.81444536304677
50,-10,-90.71466020830303
-50,-5,-89.35947116966503
-45,-5,-88.50353396199851
-40,-5,-86.98094771276924
-35,-5,-87.86150437761965
-30,-5,-85.9933830422739
-25,-5,-86.34758528574378
-20,-5,-83.2560655341484
-15,-5,-81.7817678341925
-10,-5,-80.65392282926047
-5,-5,-76.89123570394469
0,-5,-73.94917779503463
5,-5,-74.25718988490821
10,-5,-79.34119171571149
15,-5,-83.03490323959491
20,-5,-83.57882537694083
25,-5,-86.94174423082217
30,-5,-86.42562769392345
35,-5,-85.73691811918015
40,-5,-87.9878026746452
45,-5,-88.73073523123209
50,-5,-89.43088572606054
-50,0,-89.72453871485966
-45,0,-86.77591690747713
-40,0,-87.24069368338603
-35,0,-87.03329058204943
-30,0,-84.95417888613339
-25,0,-84.8706742371828
-20,0,-81.78355616029664
-15,0,-80.68677550215021
-10,0,-79.53953172208331
-5,0,-74.70722691505506
0,0,-63.535502504032515
5,0,-73.22639788487365
10,0,-79.10316932283769
15,0,-81.37873703679985
20,0,-82.37602654346573
25,0,-84.82095762813752
30,0,-86.082785123307
35,0,-88.82743106571162
40,0,-88.26798840619703
45,0,-89.42078849222064
50,0,-90.60665271789726
-50,5,-88.11763664137979
-45,5,-87.10720389411235
-40,5,-87.86714796102665
-35,5,-86.21335749718217
-30,5,-85.64708316369969
-25,5,-84.84673327880965
-20,5,-82.77084966908852
-15,5,-81.40444157749748
-10,5,-80.01000069785457
-5,5,-75.75083108073217
0,5,-75.24448708661322
5,5,-74.48537675154105
10,5,-79.7680373006548
15,5,-81.33693079716168
20,5,-83.32975300236193
25,5,-85.99842699880541
30,5,-84.4377020848076
35,5,-85.98107635302343
40,5,-88.1558352017875
45,5,-89.90040451354027
50,5,-88.88170819778765
-50,10,-89.53376878376875
-45,10,-87.6586293300724
-40,10,-87.96272549171118
-35,10,-85.3834701046704
-30,10,-88.02327639856686
-25,10,-85.32618950435585
-20,10,-82.5840874865895
-15,10,-84.59595058150089
-10,10,-81.53187464896571
-5,10,-79.08512367994629
0,10,-78.35369934309608
5,10,-78.6667291015586
10,10,-80.90419651446092
15,10,-81.38211782240809
20,10,-82.53038961104987
25,10,-85.64135707137643
30,10,-87.4076677341659
35,10,-86.13446760309748
40,10,-88.31127403738148
45,10,-89.0040353042078
50,10,-89.88715673703086
-50,15,-90.65946310615901
-45,15,-89.54241110217228
-40,15,-87.04853792296599
-35,15,-87.87749380812438
-30,15,-84.71351062614777
-25,15,-85.3310977053296
-20,15,-84.05537346232991
-15,15,-82.80112595954085
-10,15,-81.67089741074075
-5,15,-81.91927337062918
0,15,-81.08511480872492
5,15,-80.27139458979383
10,15,-83.16870887232545
15,15,-84.49358791803336
20,15,-83.67355208381775
25,15,-83.86637202209135
30,15,-87.62875014063009
35,15,-87.55059905681892
40,15,-87.9269269841537
45,15,-88.42059901735122
50,15,-89.60591795618035
-50,20,-89.24234112941807
-45,20,-88.428872284573
-40,20,-87.59356591153325
-35,20,-85.79724619377284
-30,20,-87.21626127062609
-25,20,-86.86801359029272
-20,20,-85.260519280813
-15,20,-83.7590719287887
-10,20,-84.21679400584712
-5,20,-83.15347063982304
0,20,-82.86308251269362
5,20,-84.16521284319793
10,20,-83.98357165689728
15,20,-83.85660310062865
20,20,-84.70298833844494
25,20,-86.97183832561316
30,20,-86.72451809634254
35,20,-86.19056999091747
40,20,-87.27485852316919
45,20,-87.71875764101037
50,20,-88.17140978476935
-50,25,-92.01857189992873
-45,25,-88.1518104062786
-40,25,-90.3751679748018
-35,25,-88.41155453308225
-30,25,-86.89288958966154
-25,25,-86.69049803616709
-20,25,-85.68355140552048
-15,25,-85.30895272435447
-10,25,-84.60122047326867
-5,25,-84.68403526751314
0,25,-82.95449804279447
5,25,-85.44741641133155
10,25,-85.34570598205423
15,25,-84.80641697672557
20,25,-86.18057668077925
25,25,-86.25146262880712
30,25,-88.46720900930751
35,25,-89.0863196969562
40,25,-89.61486166282816
45,25,-89.91194016071097
50,25,-88.81963770034633
-50,30,-91.14107427559246
-45,30,-91.25844666459294
-40,30,-87.84362769095904
-35,30,-89.15439496926795
-30,30,-88.88403208709063
-25,30,-87.49982372747974
-20,30,-87.09915752521886
-15,30,-87.91926806896703
-10,30,-86.486079892249
-5,30,-86.90425167339282
0,30,-85.77849641135279
5,30,-85.3402125912607
10,30,-86.21867009591261
15,30,-86.8528412458785
20,30,-87.93559109636413
25,30,-85.61269580300622
30,30,-87.66553114857197
35,30,-89.31343593444726
40,30,-89.54363234931677
45,30,-91.0707170815681
50,30,-92.49817264748714
-50,35,-92.58703546756861
-45,35,-89.28274147245554
-40,35,-88.0481882088322
-35,35,-89.50867042461591
-30,35,-88.88437022793124
-25,35,-87.98846128286226
-20,35,-87.45200941970423
-15,35,-87.61944594802897
-10,35,-86.97527712703534
-5,35,-89.43531312668908
0,35,-87.91614431393367
5,35,-87.73703284399696
10,35,-86.02184616285749
15,35,-89.42369475596742
20,35,-88.40408358837173
25,35,-86.7464746894104
30,35,-88.53373285230593
35,35,-88.64733580372324
40,35,-88.12141556456845
45,35,-91.21692823116376
50,35,-91.61799780549518
-50,40,-90.82266427168905
-45,40,-91.46143658111731
-40,40,-89.24058465262378
-35,40,-89.27206295087402
-30,40,-89.64198397057301
-25,40,-87.56780090948537
-20,40,-87.89118278549546
-15,40,-87.73405226852127
-10,40,-88.489221498452
-5,40,-87.35616917030707
0,40,-88.39192350539467
5,40,-86.33670047451179
10,40,-87.90157125355597
15,40,-87.37243715690796
20,40,-87.5128137251446
25,40,-88.59311191015608
30,40,-89.44560449827846
35,40,-90.48445751054275
40,40,-91.06292366689456
45,40,-88.85860658488605
50,40,-90.79440226842887
-50,45,-91.40367055545721
-45,45,-89.83672880239381
-40,45,-89.74934577143435
-35,45,-89.48812454195576
-30,45,-88.6718120245072
-25,45,-91.2053993948508
-20,45,-89.77934273323618
-15,45,-89.03966377032512
-10,45,-87.51098217942427
-5,45,-88.6791420564475
0,45,-89.43222733106562
5,45,-89.99097310577676
10,45,-88.06479973291738
15,45,-87.78880755531135
20,45,-89.3885737981095
25,45,-90.04047724215185
30,45,-90.70050302559449
35,45,-89.5407211022342
40,45,-91.49449061310553
45,45,-89.3454780766909
50,45,-92.12593851867047
-50,50,-92.03044963362579
-45,50,-91.00258474233043
-40,50,-90.59766457449768
-35,50,-90.21591222665172
-30,50,-90.31245433551346
-25,50,-91.35133509245648
-20,50,-91.62234975832617
-15,50,-92.7584433817308
-10,50,-88.4642535579756
-5,50,-90.61004312816189
0,50,-87.18868810994121
5,50,-91.12428485993735
10,50,-88.50696134311204
15,50,-88.61487313579983
20,50,-88.77948043847505
25,50,-89.818292144892
30,50,-89.29461650477546
35,50,-91.2464151635205
40,50,-90.22753469815275
45,50,-92.01625289713786
50,50,-90.35520288118063
