x,y,rssi
-75,-100,-91.5505602081289
-75,-90,-91.10009882497704
-75,-80,-90.64068068036696
-75,-70,-90.17777683606164
-75,-60,-89.71973099864879
-75,-50,-89.2785869572073
-75,-40,-88.87070281142869
-75,-30,-88.51664412808255
-75,-20,-88.23965640997525
-75,-10,-88.06220392809541
-75,0,-88.0009802142672
-75,10,-88.06220392809541
-75,20,-88.23965640997525
-75,30,-88.51664412808255
-75,40,-88.87070281142869
-75,50,-89.2785869572073
-75,60,-89.71973099864879
-75,70,-90.17777683606164
-75,80,-90.64068068036696
-75,90,-91.10009882497704
-75,100,-91.5505602081289
-70,-100,-91.38549014729819
-70,-90,-90.9115468184547
-70,-80,-90.42462754786736
-70,-70,-89.92980860553996
-70,-60,-89.43535140571434
-70,-50,-88.95385375784781
-70,-40,-88.50330685314285
-70,-30,-88.1074239485035
-70,-20,-87.7942069568063
-70,-10,-87.59176003468815
-70,0,-87.52156864022811
-70,10,-87.59176003468815
-70,20,-87.7942069568063
-70,30,-88.1074239485035
-70,40,-88.50330685314285
-70,50,-88.95385375784781
-70,60,-89.43535140571434
-70,70,-89.92980860553996
-70,80,-90.42462754786736
-70,90,-90.9115468184547
-70,100,-91.38549014729819
-65,-100,-91.22441820053686
-65,-90,-90.72629542359414
-65,-80,-90.21063150977879
-65,-70,-89.68186298502809
-65,-60,-89.14787476974789
-65,-50,-88.62153830939556
-65,-40,-88.12236743758444
-65,-30,-87.67755095782233
-65,-20,-87.32089389660041
-65,-10,-87.08788889440666
-65,0,-87.00661370628569
-65,10,-87.08788889440666
-65,20,-87.32089389660041
-65,30,-87.67755095782233
-65,40,-88.12236743758444
-65,50,-88.62153830939556
-65,60,-89.14787476974789
-65,70,-89.68186298502809
-65,80,-90.21063150977879
-65,90,-90.72629542359414
-65,100,-91.22441820053686
-60,-100,-91.06831126696174
-60,-90,-90.5454868939693
-60,-80,-90.0
-60,-70,-89.43535140571434
-60,-60,-88.85865997145015
-60,-50,-88.28263868008614
-60,-40,-87.7280267490784
-60,-30,-87.22570011020275
-60,-20,-86.8164799306237
-60,-10,-86.54561379253596
-60,0,-86.4504200061383
-60,10,-86.54561379253596
-60,20,-86.8164799306237
-60,30,-87.22570011020275
-60,40,-87.7280267490784
-60,50,-88.28263868008614
-60,60,-88.85865997145015
-60,70,-89.43535140571434
-60,80,-90.0
-60,90,-90.5454868939693
-60,100,-91.06831126696174
-55,-100,-90.91822185577249
-55,-90,-90.37040015722376
-55,-80,-89.79425087102264
-55,-70,-89.19199416711831
-55,-60,-88.56948706087076
-55,-50,-87.93865825885719
-55,-40,-87.32089389660041
-55,-30,-86.75071728865018
-55,-20,-86.27728460662756
-55,-10,-85.95880017344075
-55,0,-85.8458030319079
-55,10,-85.95880017344075
-55,20,-86.27728460662756
-55,30,-86.75071728865018
-55,40,-87.32089389660041
-55,50,-87.93865825885719
-55,60,-88.56948706087076
-55,70,-89.19199416711831
-55,80,-89.79425087102264
-55,90,-90.37040015722376
-55,100,-90.91822185577249
-50,-100,-90.77528010406445
-50,-90,-90.20244692211816
-50,-80,-89.5951200531593
-50,-70,-88.95385375784781
-50,-60,-88.28263868008614
-50,-50,-87.59176003468815
-50,-40,-86.90227085375788
-50,-30,-86.25183133633804
-50,-20,-85.69918398319165
-50,-10,-85.31978678376655
-50,0,-85.1835200693763
-50,10,-85.31978678376655
-50,20,-85.69918398319165
-50,30,-86.25183133633804
-50,40,-86.90227085375788
-50,50,-87.59176003468815
-50,60,-88.28263868008614
-50,70,-88.95385375784781
-50,80,-89.5951200531593
-50,90,-90.20244692211816
-50,100,-90.77528010406445
-45,-100,-90.64068068036696
-45,-90,-90.04316025509365
-45,-80,-89.40455927634702
-45,-70,-88.72335822189189
-45,-60,-88.0009802142672
-45,-50,-87.24494866832978
-45,-40,-86.4744640872561
-45,-30,-85.7290069633456
-45,-20,-85.07769394350626
-45,-10,-84.61887147509064
-45,0,-84.4514002204055
-45,10,-84.61887147509064
-45,20,-85.07769394350626
-45,30,-85.7290069633456
-45,40,-86.4744640872561
-45,50,-87.24494866832978
-45,60,-88.0009802142672
-45,70,-88.72335822189189
-45,80,-89.40455927634702
-45,90,-90.04316025509365
-45,100,-90.64068068036696
-40,-100,-90.51566391381535
-40,-90,-89.89417387412996
-40,-80,-89.22471989593555
-40,-70,-88.50330685314285
-40,-60,-87.7280267490784
-40,-50,-86.90227085375788
-40,-40,-86.04119982655925
-40,-30,-85.1835200693763
-40,-20,-84.40823996531185
-40,-10,-83.84359137102619
-40,0,-83.6329598612474
-40,10,-83.84359137102619
-40,20,-84.40823996531185
-40,30,-85.1835200693763
-40,40,-86.04119982655925
-40,50,-86.90227085375788
-40,60,-87.7280267490784
-40,70,-88.50330685314285
-40,80,-89.22471989593555
-40,90,-89.89417387412996
-40,100,-90.51566391381535
-35,-100,-90.40149079740289
-35,-90,-89.75719072384581
-35,-80,-89.05791878415059
-35,-70,-88.29684874429256
-35,-60,-87.4679785414385
-35,-50,-86.56901021667449
-35,-40,-85.60814761724366
-35,-30,-84.61887147509064
-35,-20,-83.68682692251915
-35,-10,-82.9777270261826
-35,0,-82.70508870960441
-35,10,-82.9777270261826
-35,20,-83.68682692251915
-35,30,-84.61887147509064
-35,40,-85.60814761724366
-35,50,-86.56901021667449
-35,60,-87.4679785414385
-35,70,-88.29684874429256
-35,80,-89.05791878415059
-35,90,-89.75719072384581
-35,100,-90.40149079740289
-30,-100,-90.29941198352499
-30,-90,-89.6339400755146
-30,-80,-88.90658288096364
-30,-70,-88.1074239485035
-30,-60,-87.22570011020275
-30,-50,-86.25183133633804
-30,-40,-85.1835200693763
-30,-30,-84.04218004082645
-30,-20,-82.9115468184547
-30,-10,-82.0
-30,0,-81.6339400755146
-30,10,-82.0
-30,20,-82.9115468184547
-30,30,-84.04218004082645
-30,40,-85.1835200693763
-30,50,-86.25183133633804
-30,60,-87.22570011020275
-30,70,-88.1074239485035
-30,80,-88.90658288096364
-30,90,-89.6339400755146
-30,100,-90.29941198352499
-25,-100,-90.21063150977879
-25,-90,-89.52612348504974
-25,-80,-88.77317062861694
-25,-70,-87.93865825885719
-25,-60,-87.00661370628569
-25,-50,-85.95880017344075
-25,-40,-84.7786401225356
-25,-30,-83.46615874946244
-25,-20,-82.08579092313418
-25,-10,-80.88270405256795
-25,0,-80.3670401387526
-25,10,-80.88270405256795
-25,20,-82.08579092313418
-25,30,-83.46615874946244
-25,40,-84.7786401225356
-25,50,-85.95880017344075
